Project_Name,Description,Domain,Year
ChatGPT,Conversational AI model for human-like responses,NLP,2022
AlphaGo,AI system that defeated Go champions,Reinforcement Learning,2016
Tesla Autopilot,Self-driving car system,Computer Vision,2020
Google Translate,Language translation system,NLP,2018
IBM Watson,AI system for QA and healthcare,NLP,2011
DALL-E,Image generation from text prompts,Generative AI,2021
Midjourney,AI art generation tool,Generative AI,2022
DeepMind AlphaFold,Protein folding prediction,BioAI,2020
Siri,Voice assistant,NLP,2011
Alexa,Smart home voice assistant,NLP,2014
